spec,status,matched_terms,max_abs_coef_diff,mean_abs_coef_diff,max_abs_se_diff,mean_abs_se_diff,message
fod_diff_endog_x_onestep,COMPARED,3,6.23288636258934e-08,2.514332024065406e-08,0.0024735778150202226,0.0009480322064080402,
fod_diff_endog_x_twostep,COMPARED,3,1.181902105074073e-07,4.689841478130082e-08,0.019951436915176313,0.009741693825955605,
fod_diff_predet_x_onestep,COMPARED,3,4.692983779364113e-09,3.16449858909588e-09,0.00010025605472739965,8.969069342526619e-05,
fod_diff_predet_x_twostep,COMPARED,3,4.507376027973464e-09,2.962336505725934e-09,0.0010659722486012976,0.0008218706730007663,
