spec,metric,stata,native,abs_diff,status,native_found,native_file,stata_div_native,native_times_groups_96,native_times_effective_rows_1152,native_times_marked_sample_1248,native_times_df_2,native_times_zrank_5,native_times_rank_3,native_times_6,abs_diff_times_6
fod_diff_endog_x_onestep,chi2_J,9.077070104207634,1.5162970113965288,7.560773092811105,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv,5.986340430657142,145.56451309406677,1746.774157128801,1892.338670222868,3.0325940227930577,7.581485056982644,4.5488910341895865,9.097782068379173,0.02071196417153942
fod_diff_predet_x_onestep,chi2_J,9.012588209482166,1.4470891757746414,7.565499033707525,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv,6.228080729480709,138.92056087436558,1667.0467304923868,1805.9672913667523,2.8941783515492827,7.235445878873207,4.341267527323924,8.682535054647849,0.3300531548343173
