target,status,dep_gmm_variable,y_min_lag,y_max_lag,x_min_lag,x_max_lag,w_iv_eq,covariance_type,nobs,n_instruments,instrument_names,matched_terms,max_abs_coef_diff,mean_abs_coef_diff,max_abs_se_diff,mean_abs_se_diff
fod_diff_endog_x_onestep,OK,L1.y,0,1,2,3,diff,robust-clustered-one-step,1056,5,D:L1.y:L0;D:L1.y:L1;D:x:L2;D:iv:w;D:x:L3,3,0.03658834146595913,0.015269594911643721,0.16233085340439465,0.061084150072145064
fod_diff_endog_x_onestep,OK,L1.y,0,1,2,3,none,robust-clustered-one-step,1056,5,D:L1.y:L0;D:L1.y:L1;D:x:L2;D:iv:w;D:x:L3,3,0.03658834146595913,0.015269594911643721,0.16233085340439465,0.061084150072145064
fod_diff_endog_x_onestep,OK,L1.y,1,2,0,1,diff,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L0;D:x:L1;D:iv:w;D:L1.y:L2,3,0.07927301359106065,0.030648582231715682,0.3898645777565461,0.13955307858151791
fod_diff_endog_x_onestep,OK,L1.y,1,2,0,1,none,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L0;D:x:L1;D:iv:w;D:L1.y:L2,3,0.07927301359106065,0.030648582231715682,0.3898645777565461,0.13955307858151791
fod_diff_endog_x_onestep,OK,L1.y,1,2,1,2,diff,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L1;D:x:L2;D:iv:w;D:L1.y:L2,3,0.11073626052955043,0.03878270106430629,0.08159041665761246,0.03336342853543831
fod_diff_endog_x_onestep,OK,L1.y,1,2,1,2,none,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L1;D:x:L2;D:iv:w;D:L1.y:L2,3,0.11073626052955043,0.03878270106430629,0.08159041665761246,0.03336342853543831
fod_diff_endog_x_onestep,OK,L1.y,1,2,2,3,diff,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L2;D:iv:w;D:L1.y:L2;D:x:L3,3,0.27070409404251794,0.11759656071889972,0.05620386971786591,0.022119226792313196
fod_diff_endog_x_onestep,OK,L1.y,1,2,2,3,none,robust-clustered-one-step,1056,5,D:L1.y:L1;D:x:L2;D:iv:w;D:L1.y:L2;D:x:L3,3,0.27070409404251794,0.11759656071889972,0.05620386971786591,0.022119226792313196
fod_diff_endog_x_onestep,OK,L1.y,2,3,0,1,diff,robust-clustered-one-step,1056,5,D:x:L0;D:x:L1;D:iv:w;D:L1.y:L2;D:L1.y:L3,3,0.07986572463137864,0.03233089059050368,0.3898692690815306,0.1393987248619861
fod_diff_endog_x_onestep,OK,L1.y,2,3,0,1,none,robust-clustered-one-step,1056,5,D:x:L0;D:x:L1;D:iv:w;D:L1.y:L2;D:L1.y:L3,3,0.07986572463137864,0.03233089059050368,0.3898692690815306,0.1393987248619861
fod_diff_endog_x_onestep,OK,L1.y,2,3,1,2,diff,robust-clustered-one-step,1056,5,D:x:L1;D:x:L2;D:iv:w;D:L1.y:L2;D:L1.y:L3,3,0.38412778057006103,0.1388252548989182,0.12227911673824338,0.046810396677473616
fod_diff_endog_x_onestep,OK,L1.y,2,3,1,2,none,robust-clustered-one-step,1056,5,D:x:L1;D:x:L2;D:iv:w;D:L1.y:L2;D:L1.y:L3,3,0.38412778057006103,0.1388252548989182,0.12227911673824338,0.046810396677473616
fod_diff_endog_x_onestep,OK,L1.y,2,3,2,3,diff,robust-clustered-one-step,1056,5,D:x:L2;D:iv:w;D:L1.y:L2;D:x:L3;D:L1.y:L3,3,0.45782234217329,0.18823648002612722,0.0818871091894573,0.049379497774151654
fod_diff_endog_x_onestep,OK,L1.y,2,3,2,3,none,robust-clustered-one-step,1056,5,D:x:L2;D:iv:w;D:L1.y:L2;D:x:L3;D:L1.y:L3,3,0.45782234217329,0.18823648002612722,0.0818871091894573,0.049379497774151654
