parm,estimate,stderr,dof,t,p,min95,max95
L.y,.54471231038201,.0324395991934648,95,16.79158571391186,3.47924339222e-30,.4803115635298678,.6091130572341521
x,.2412538390714276,.4711624955031459,95,.5120395646385161,.6098116265364513,-.6941219779403484,1.176629656083203
w,-.3622452191584206,.0344144090090897,95,-10.52597529897265,1.24805502651e-17,-.4305664591787647,-.2939239791380765
_cons,.0306735538664374,.0930491281034965,95,.3296490197341758,.7423909222895688,-.154052321076341,.2153994288092157
