model,term,coefficient,std_error,t_value,p_value
pooled_dynamic_ols,Intercept,0.010101010101009205,1.758000148113147e-16,57457390500510.31,0.0
pooled_dynamic_ols,C(Fc)[T.2.0],9.397864431104352e-16,1.2717818725174593e-16,7.389525384963636,1.4735383461641362e-13
pooled_dynamic_ols,C(Fc)[T.3.0],-2.393918396847994e-16,1.7427229465543468e-16,-1.3736655052262718,0.16954555050750864
pooled_dynamic_ols,C(hs)[T.1.0],1.0998146837692957e-15,1.1138032404948004e-16,9.874407290112657,5.374977494691093e-23
pooled_dynamic_ols,L1_risk,1.0000000000000002,2.130465754345957e-16,4693809313574231.0,0.0
pooled_dynamic_ols,z_degradation_index,-3.5301622736128024e-16,4.808842397335672e-16,-0.7340981429478081,0.46288892528290093
pooled_dynamic_ols,z_sensor_mean_z,-2.8536201179818477e-16,4.808842397335688e-16,-0.5934110295573172,0.5529061092745768
pooled_dynamic_ols,z_pc2,6.938893903907228e-16,2.873913741596619e-16,2.4144405600887264,0.0157593940898818
pooled_dynamic_ols,z_op_setting1,3.469446951953614e-16,2.296520442597e-15,0.15107407221815194,0.8799172851013791
pooled_dynamic_ols,z_op_setting2,2.3592239273284576e-16,7.762115774094639e-16,0.30394083211205825,0.7611729688989237
pooled_dynamic_ols,z_op_setting3,-1.0547118733938987e-15,7.152485038320937e-16,-1.4746089893834924,0.14031769671534594
pooled_dynamic_ols,z_op_setting4,1.3877787807814457e-16,1.768071152018648e-15,0.07849111610678033,0.9374373967415054
unit_fe_dynamic_ols,Intercept,0.010101010101009882,2.4909335759562957e-16,40551101797774.74,0.0
unit_fe_dynamic_ols,C(Fc)[T.2.0],1.6176296413483726e-16,1.0624087633412492e-16,1.5226057024049457,0.12785738227307678
unit_fe_dynamic_ols,C(Fc)[T.3.0],1.5265566588595902e-16,1.4026871323082226e-16,1.088308735211345,0.2764588355634596
unit_fe_dynamic_ols,C(hs)[T.1.0],-9.367506770274758e-17,1.6751064360837057e-16,-0.5592186005908618,0.5760125402292333
unit_fe_dynamic_ols,C(unit)[T.2],2.229119666630197e-16,1.4726436863189468e-16,1.5136856846900655,0.13010557740818496
unit_fe_dynamic_ols,C(unit)[T.3],9.835882108788496e-16,8.413360924060492e-17,11.690788256402842,1.420619276229857e-31
unit_fe_dynamic_ols,C(unit)[T.4],5.155381330168574e-16,8.788714362824636e-17,5.86591066376592,4.466742604192915e-09
unit_fe_dynamic_ols,C(unit)[T.5],-1.8908485888147197e-16,1.3600577476604682e-16,-1.3902708117117104,0.164446657714302
unit_fe_dynamic_ols,C(unit)[T.6],-6.245004513516506e-17,7.609912101941393e-17,-0.8206408207951994,0.4118508887094441
unit_fe_dynamic_ols,L1_risk,0.9999999999999991,3.47052364339746e-16,2881409558763448.5,0.0
unit_fe_dynamic_ols,z_degradation_index,-2.1510571102112408e-16,7.680008294960857e-16,-0.2800852587128884,0.7794120941117956
unit_fe_dynamic_ols,z_sensor_mean_z,2.3765711620882257e-16,7.680008294960867e-16,0.3094490358360134,0.7569799743089873
unit_fe_dynamic_ols,z_pc2,-2.0816681711721685e-17,4.2777344447095326e-16,-0.048662865778091056,0.9611879696120581
unit_fe_dynamic_ols,z_op_setting1,-5.30825383648903e-16,3.567032054868335e-15,-0.14881430149314895,0.8817001653411538
unit_fe_dynamic_ols,z_op_setting2,-1.97758476261356e-16,1.1473991891517028e-15,-0.1723536831218812,0.8631594827151234
unit_fe_dynamic_ols,z_op_setting3,-4.996003610813204e-16,1.1977988798628028e-15,-0.41709870453255493,0.676606212451776
unit_fe_dynamic_ols,z_op_setting4,-4.440892098500626e-16,2.7741995243794667e-15,-0.16007832383627726,0.8728193760416607
