estimator,difference_equation,level_equation,standard_instruments,lag_range,collapsed,transformation,total_instruments,groups,counts_by_lag,model,spec_system,spec_collapse,spec_transformation,spec_steps
Difference GMM,"('L2.y', 'L3.y')","('D.y',)","(""IVStyle(variable='x_exog', eq=None)"",)","(2, 3)",True,fd,5,120,,Difference GMM,False,True,fd,twostep
System GMM,"('L2.y', 'L3.y')","('D.y',)","(""IVStyle(variable='x_exog', eq=None)"",)","(2, 3)",True,fd,8,120,,System GMM,True,True,fd,twostep
