spec,term,coefficient,std_error,z_value,p_value
default,x_pred,.0570813813327194,.1360151742910658,.4196692143375715,.6747271177891444
default,x_exog,.2743375645120961,.0213473115897715,12.85115286571001,8.47378836352e-38
default,l1_y,.92796383943123,.0418687647806941,22.16363067532192,7.7078807325e-109
default,const,.1296557959359129,.0364249806760227,3.55952957364946,.0003715196966087
diff_only,x_pred,.057913342431348,.1349679330114882,.429089644770796,.6678579878857629
diff_only,x_exog,.2962634782554197,.0242502382418681,12.21693062561008,2.52436810580e-34
diff_only,l1_y,.9271406432871045,.0417451355937091,22.20954921097019,2.7770972499e-109
diff_only,const,.1297614751512271,.0365297521745757,3.552213399398299,.0003820049143343
level_only,x_pred,.0571006094722246,.1381075678228567,.4134502574505154,.6792767595608228
level_only,x_exog,.2340863512395059,.0193349779756542,12.10688481436376,9.71127739357e-34
level_only,l1_y,.9288159506867745,.0421415621742433,22.04037778301588,1.1814742220e-107
level_only,const,.1299016133317665,.0363212009554335,3.576468010822579,.0003482679118498
diff_and_level,x_pred,.2056890901149342,.0971049555211358,2.118214142739234,.0341569359688071
diff_and_level,x_exog,.2488673399294644,.0224492945954838,11.08575322360151,1.47107046137e-28
diff_and_level,l1_y,.8627792886635872,.0336420127880393,25.64588789914291,4.6990771288e-145
diff_and_level,const,.1838016779670596,.0454493820494785,4.044096304036958,.0000525253272039
