model,n_obs,r2,adj_r2,aic,bic
pooled_dynamic_ols,547,1.0,1.0,-36536.79102639723,-36489.44208957059
unit_fe_dynamic_ols,547,1.0,1.0,-36176.937205292365,-36116.67492205845
