parm,estimate,stderr,dof,t,p,min95,max95
L.y,.4846154127412725,.0313034970174637,95,15.48119088646593,1.01256410707e-27,.4224701138741213,.5467607116084238
x,.6471158245297108,.2116337556820993,95,3.057715544687307,.0028970152347475,.2269696986861853,1.067261950373236
frag,.1197045950263706,.1065305004011536,95,1.123665002751403,.2639866407874195,-.0917851877989626,.3311943778517038
polity,.2552716933952229,.1394806795129489,95,1.830158085597256,.0703620443111727,-.0216324655774879,.5321758523679337
x_frag,.0441820897109559,.0395977594278973,95,1.115772466657012,.26733394511246,-.0344294019298466,.1227935813517585
x_polity,-.0446611168279232,.0463849450995994,95,-.9628364705838354,.3380740319951517,-.1367468756344505,.047424641978604
frag_polity,.434348556896942,.1131072999759598,95,3.840146100112546,.000221742349399,.2098021761158701,.6588949376780139
x_frag_polity,-.1089657486913568,.129971964015746,95,-.8383788728325723,.4039224502970991,-.3669927206811972,.1490612232984836
w,-.2801361785900748,.0322007809289639,95,-8.699670334333366,9.90279118357e-14,-.3440628112429612,-.2162095459371885
_cons,-.0335269034341996,.1056923989110173,95,-.3172120585741083,.7517787971399728,-.2433528444352003,.176299037566801
