param,native_coef,native_std_err,native_z,native_p_value,covariance_type
L1.y,0.5217523639103896,0.03513492544079859,14.849963600734783,6.96064400229712e-50,robust-clustered-two-step-windmeijer
x,0.9320145774134305,0.6099837752288422,1.527933389808237,0.12652907702126362,robust-clustered-two-step-windmeijer
frag,0.13459580669717297,0.13423764367884644,1.0026681265292723,0.3160210134072693,robust-clustered-two-step-windmeijer
polity,0.2206509206303285,0.14957239188984084,1.475211553699272,0.14015567620756875,robust-clustered-two-step-windmeijer
x_frag,0.06169093365384362,0.0450247346157743,1.3701565190842981,0.17063804798014082,robust-clustered-two-step-windmeijer
x_polity,0.004912164598401103,0.10012367809311704,0.0490609683139356,0.9608707087014658,robust-clustered-two-step-windmeijer
frag_polity,0.4150719386372833,0.12604764586625833,3.2929765231608648,0.00099132751833493,robust-clustered-two-step-windmeijer
x_frag_polity,-0.09902613548014683,0.2512786607240964,-0.39408891783643096,0.6935153926299069,robust-clustered-two-step-windmeijer
w,-0.2751277323336158,0.055286769026247545,-4.976375671419651,6.478585535140091e-07,robust-clustered-two-step-windmeijer
_con,0.0387521487701299,0.10329154146595942,0.37517252836139525,0.7075321597058002,robust-clustered-two-step-windmeijer
