v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,row_id
.0009799089255224,.0008197366931159,.0002926796841789,-.0010719241612507,.0002398857915162,.0002048166222967,.0007880032578957,.00070230379851,.0001271490244071,.0004092200989254,1
.0008197366931159,.0447888465441105,.0059414626347603,.0079952200414638,.0022484905099819,.0047128513998122,.0018697946175799,.0024194728689944,-.0013017981554539,-.0077648077428296,2
.0002926796841789,.0059414626347603,.0113487475157202,5.99833017572e-06,-.0003892897588273,.0008950901489145,-.0012546294376848,.0046532822730312,.0005784013336316,-.0002181869106359,3
-.0010719241612507,.0079952200414638,5.99833017572e-06,.019454859957394,.0004592357831395,-.0005859206021755,.0030715723207491,-.0003707020350164,-.0003098804933829,-.0014931823345793,4
.0002398857915162,.0022484905099819,-.0003892897588273,.0004592357831395,.0015679825517096,.000534573780616,.0012466955663094,.0028397624415371,.0001423988109394,.0002710987135136,5
.0002048166222967,.0047128513998122,.0008950901489145,-.0005859206021755,.000534573780616,.0021515631318928,-.0002265661248332,.0018516875176694,-.0001468756103244,.0001930711666536,6
.0007880032578957,.0018697946175799,-.0012546294376848,.0030715723207491,.0012466955663094,-.0002265661248332,.0127932613078518,.0003474464732817,-.0004207075105553,-.0011166704090225,7
.00070230379851,.0024194728689944,.0046532822730312,-.0003707020350164,.0028397624415371,.0018516875176694,.0003474464732817,.0168927114301104,.0012391116560591,.0003104318284715,8
.0001271490244071,-.0013017981554539,.0005784013336316,-.0003098804933829,.0001423988109394,-.0001468756103244,-.0004207075105553,.0012391116560591,.0010368902924351,.0004973276084419,9
.0004092200989254,-.0077648077428296,-.0002181869106359,-.0014931823345793,.0002710987135136,.0001930711666536,-.0011166704090225,.0003104318284715,.0004973276084419,.0111708831875656,10
