param,native_coef,native_std_err,native_z,native_p_value,covariance_type,stata_coef,stata_std_err,coef_abs_diff,se_abs_diff,se_rel_diff
L1.y,0.4846154055423753,0.0313034152815835,15.481231079200622,4.6449826469145247e-54,robust-clustered-two-step-windmeijer,0.4846154055423748,0.0313034976936585,4.996003610813204e-16,8.24120749975954e-08,2.632679447009225e-06
_con,-0.0335269001741433,0.1056921232925846,-0.3172128549384117,0.7510820964150156,robust-clustered-two-step-windmeijer,-0.0335269001741431,0.1056924015467988,2.0122792321330962e-16,2.782542142115707e-07,2.6326794560379486e-06
frag,0.119704585959336,0.1065302240565532,1.1236678324809393,0.2611539677015494,robust-clustered-two-step-windmeijer,0.1197045859593346,0.1065305045172232,1.4016565685892601e-15,2.804606700074208e-07,2.6326794496883063e-06
frag_polity,0.4343485545242896,0.1131070047087503,3.840156103883519,0.0001229561012732,robust-clustered-two-step-windmeijer,0.4343485545242923,0.1131073024840208,2.6645352591003757e-15,2.977752704969028e-07,2.632679446483757e-06
polity,0.2552717001211897,0.1394803177665386,1.83016288038906,0.0672255865530851,robust-clustered-two-step-windmeijer,0.2552717001211934,0.1394806849744728,3.6637359812630166e-15,3.672079341987544e-07,2.6326794585641684e-06
w,-0.2801361791394525,0.0322006969096901,-8.699693050902608,3.327830747767689e-18,robust-clustered-two-step-windmeijer,-0.2801361791394522,0.0322007816840264,2.7755575615628914e-16,8.47743363008302e-08,2.6326794527129e-06
x,0.6471157867943169,0.2116332026978254,3.057723356000442,0.0022302536505718,robust-clustered-two-step-windmeijer,0.6471157867943167,0.211633759861677,2.220446049250313e-16,5.571638516110866e-07,2.6326794551835524e-06
x_frag,0.0441820834337943,0.0395976520622914,1.11577533345389,0.2645183147846903,robust-clustered-two-step-windmeijer,0.0441820834337942,0.03959775631049,1.0408340855860843e-16,1.0424819860133105e-07,2.6326794322362715e-06
x_frag_polity,-0.1089657992053237,0.129971613837511,-0.8383815203029753,0.4018164647934036,robust-clustered-two-step-windmeijer,-0.108965799205325,0.1299719560120061,1.2906342661267445e-15,3.421744950993233e-07,2.6326794302281262e-06
x_polity,-0.0446611228490039,0.0463848207674193,-0.9628391812257228,0.3356282346566175,robust-clustered-two-step-windmeijer,-0.0446611228490049,0.0463849428841048,9.992007221626409e-16,1.221166854997735e-07,2.6326794409316924e-06
