cutoff,horizon,train_n,test_n,n,mae,mse,rmse,mape,smape,r2,error
6,1,36.0,6.0,6.0,5.921189464667501e-16,5.259072701473412e-31,7.251946429389431e-16,8.795868862798639e-15,8.795868862798639e-15,1.0,
6,2,36.0,6.0,6.0,5.921189464667501e-16,5.259072701473412e-31,7.251946429389431e-16,8.276759730940327e-15,8.276759730940327e-15,1.0,
7,1,42.0,6.0,6.0,5.921189464667501e-16,5.259072701473412e-31,7.251946429389431e-16,8.276759730940327e-15,8.276759730940327e-15,1.0,
7,2,42.0,6.0,6.0,4.440892098500626e-16,6.573840876841765e-31,8.107922592650824e-16,6.01369953824085e-15,6.013699538240852e-15,1.0,
8,1,48.0,6.0,6.0,1.4802973661668753e-16,1.314768175368353e-31,3.6259732146947156e-16,2.0286998522784287e-15,2.0286998522784287e-15,1.0,
8,2,48.0,6.0,6.0,4.440892098500626e-16,6.573840876841765e-31,8.107922592650824e-16,5.1162743427808276e-15,5.1162743427808276e-15,1.0,
