model,n,mae,mse,rmse,mape,smape,r2,error
OLS full,60.0,1.6135241291218942e-15,3.24090355228299e-30,1.800250969249285e-15,4.4457346846450476e-14,4.4457346846450445e-14,1.0,
OLS short,60.0,0.028071152358855378,0.0010719257540603272,0.03274027724470774,0.7064080050618664,0.7062327880797818,0.9986462022787219,
