candidate,candidate_Ze,closest_stata_index,closest_stata_Ze,abs_diff
D:x:L2,68.58108843960103,4,68.58108616567515,2.2739258866977252e-06
D:L.y:L3_equiv_y_L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06
D:y:L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06
D:L.y:L2_equiv_y_L3,40.63679071778037,3,40.63679497167301,4.253892640804224e-06
D:y:L3,40.63679071778037,3,40.63679497167301,4.253892640804224e-06
D:x:L3,6.393383435056227,6,6.393391375390885,7.94033465822963e-06
L:diff:x:lag2_x_tminus2_minus_x_tminus3,-32.88054363578264,2,-32.38777562163545,0.4927680141471882
L:diff:x:lag1_x_tminus1_minus_x_tminus2,-75.98044456066009,8,-75.43409332789572,0.5463512327643656
D:y:L5,7.344990014709751,6,6.393391375390885,0.951598639318866
D:x:L4,-16.172766876289607,5,-11.40552750780587,4.767239368483738
D:x:L6,46.33409162620735,3,40.63679497167301,5.697296654534341
L:diff:y:reverse_lag1_y_tminus2_minus_y_tminus1,0.44352977325402065,6,6.393391375390885,5.949861602136864
L:diff:y:lag1_y_tminus1_minus_y_tminus2,-0.44352977325402065,6,6.393391375390885,6.8369211486449055
D:x:L5,-19.671349600915306,5,-11.40552750780587,8.265822093109437
L:diff:y:lag2_y_tminus2_minus_y_tminus3,57.63054470468952,4,68.58108616567515,10.950541460985626
D:y:L6,56.04875726071111,4,68.58108616567515,12.532328904964032
D:y:L2,103.60414069376822,4,68.58108616567515,35.02305452809307
L:diff:y:lag3_y_tminus3_minus_y_tminus4,119.36632862618488,4,68.58108616567515,50.785242460509735
D:y:L1,658.3009487163547,4,68.58108616567515,589.7198625506795
L:diff:y:current_y_t_minus_y_tminus1,-694.2666989869988,8,-75.43409332789572,618.832605659103
D:x:L1,1128.4183406629127,4,68.58108616567515,1059.8372544972376
L:diff:x:current_x_t_minus_x_tminus1,-1221.3446520297052,8,-75.43409332789572,1145.9105587018096
