candidate,candidate_Ze,closest_stata_index,closest_stata_Ze,abs_diff,target_stata_index,target_stata_Ze,target_abs_diff
D:L.y:L3_equiv_y_L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06,5,-11.40552750780587,3.165964672646737e-06
D:y:L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06,5,-11.40552750780587,3.165964672646737e-06
D:x:L4,-16.172766876289607,5,-11.40552750780587,4.767239368483738,5,-11.40552750780587,4.767239368483738
D:x:L5,-19.671349600915306,5,-11.40552750780587,8.265822093109437,5,-11.40552750780587,8.265822093109437
L:diff:y:lag1_y_tminus1_minus_y_tminus2,-0.44352977325402065,6,6.393391375390885,6.8369211486449055,5,-11.40552750780587,10.961997734551849
L:diff:y:reverse_lag1_y_tminus2_minus_y_tminus1,0.44352977325402065,6,6.393391375390885,5.949861602136864,5,-11.40552750780587,11.84905728105989
D:x:L3,6.393383435056227,6,6.393391375390885,7.94033465822963e-06,5,-11.40552750780587,17.798910942862097
D:y:L5,7.344990014709751,6,6.393391375390885,0.951598639318866,5,-11.40552750780587,18.750517522515622
L:diff:x:lag2_x_tminus2_minus_x_tminus3,-32.88054363578264,2,-32.38777562163545,0.4927680141471882,5,-11.40552750780587,21.475016127976765
D:y:L3,40.63679071778037,3,40.63679497167301,4.253892640804224e-06,5,-11.40552750780587,52.04231822558624
