param,native_coef,native_std_err,stata_coef,stata_std_err,_merge,coef_abs_diff,se_abs_diff,coef_rel_diff,se_rel_diff
L1.y,0.6308967241660318,0.0552878615263148,0.630896730287265,0.0553198702932497,both,6.121233186995312e-09,3.200876693490451e-05,9.702432891367408e-09,0.0005786124726111355
_con,0.052448144345322,0.0761306072219844,0.052448140225181,0.0761746761565243,both,4.120140999208655e-09,4.406893453989813e-05,7.85564746722997e-08,0.0005785247376614368
w,-0.4072874793507476,0.0359512709220603,-0.4072874826761965,0.0359720845342992,both,3.3254489162359846e-09,2.0813612238899937e-05,8.164868938237901e-09,0.0005786045626311777
x,1.7487240756053444,0.5749015539626736,1.748724169647589,0.5752344331532541,both,9.40422446582545e-08,0.00033287919058044846,5.3777631881880106e-08,0.0005786843961264793
