parm,estimate,stderr,dof,t,p,min95,max95
L.y,.630896730287265,.0553198702932497,95,11.40452294885892,1.71874484872e-19,.5210729022737969,.7407205583007331
x,1.748724169647589,.5752344331532541,95,3.040019979439744,.0030564814685591,.6067394339791734,2.890708905316004
w,-.4072874826761965,.0359720845342992,95,-11.322320848208,2.56122620523e-19,-.4787010995960987,-.3358738657562944
_cons,.052448140225181,.0761746761565243,95,.6885246235561296,.4928004588258397,-.0987777120562653,.2036739925066273
