entity,time,equation,original_index,error_terms
4,13,level,69,{13: 1.0}
5,2,diff,72,"{2: 1.0, 1: -1.0}"
5,3,diff,73,"{3: 1.0, 2: -1.0}"
5,4,diff,74,"{4: 1.0, 3: -1.0}"
5,5,diff,75,"{5: 1.0, 4: -1.0}"
5,6,diff,76,"{6: 1.0, 5: -1.0}"
5,7,diff,77,"{7: 1.0, 6: -1.0}"
5,8,diff,78,"{8: 1.0, 7: -1.0}"
5,9,diff,79,"{9: 1.0, 8: -1.0}"
5,10,diff,80,"{10: 1.0, 9: -1.0}"
5,11,diff,81,"{11: 1.0, 10: -1.0}"
5,12,diff,82,"{12: 1.0, 11: -1.0}"
5,13,diff,83,"{13: 1.0, 12: -1.0}"
5,1,level,71,{1: 1.0}
5,2,level,72,{2: 1.0}
5,3,level,73,{3: 1.0}
5,4,level,74,{4: 1.0}
5,5,level,75,{5: 1.0}
5,6,level,76,{6: 1.0}
5,7,level,77,{7: 1.0}
5,8,level,78,{8: 1.0}
5,9,level,79,{9: 1.0}
5,10,level,80,{10: 1.0}
5,11,level,81,{11: 1.0}
5,12,level,82,{12: 1.0}
5,13,level,83,{13: 1.0}
6,2,diff,86,"{2: 1.0, 1: -1.0}"
6,3,diff,87,"{3: 1.0, 2: -1.0}"
6,4,diff,88,"{4: 1.0, 3: -1.0}"
6,5,diff,89,"{5: 1.0, 4: -1.0}"
6,6,diff,90,"{6: 1.0, 5: -1.0}"
6,7,diff,91,"{7: 1.0, 6: -1.0}"
6,8,diff,92,"{8: 1.0, 7: -1.0}"
6,9,diff,93,"{9: 1.0, 8: -1.0}"
6,10,diff,94,"{10: 1.0, 9: -1.0}"
6,11,diff,95,"{11: 1.0, 10: -1.0}"
6,12,diff,96,"{12: 1.0, 11: -1.0}"
6,13,diff,97,"{13: 1.0, 12: -1.0}"
6,1,level,85,{1: 1.0}
6,2,level,86,{2: 1.0}
6,3,level,87,{3: 1.0}
6,4,level,88,{4: 1.0}
6,5,level,89,{5: 1.0}
6,6,level,90,{6: 1.0}
6,7,level,91,{7: 1.0}
6,8,level,92,{8: 1.0}
6,9,level,93,{9: 1.0}
6,10,level,94,{10: 1.0}
6,11,level,95,{11: 1.0}
6,12,level,96,{12: 1.0}
6,13,level,97,{13: 1.0}
7,2,diff,100,"{2: 1.0, 1: -1.0}"
7,3,diff,101,"{3: 1.0, 2: -1.0}"
7,4,diff,102,"{4: 1.0, 3: -1.0}"
7,5,diff,103,"{5: 1.0, 4: -1.0}"
7,6,diff,104,"{6: 1.0, 5: -1.0}"
7,7,diff,105,"{7: 1.0, 6: -1.0}"
7,8,diff,106,"{8: 1.0, 7: -1.0}"
7,9,diff,107,"{9: 1.0, 8: -1.0}"
7,10,diff,108,"{10: 1.0, 9: -1.0}"
7,11,diff,109,"{11: 1.0, 10: -1.0}"
7,12,diff,110,"{12: 1.0, 11: -1.0}"
7,13,diff,111,"{13: 1.0, 12: -1.0}"
7,1,level,99,{1: 1.0}
7,2,level,100,{2: 1.0}
7,3,level,101,{3: 1.0}
7,4,level,102,{4: 1.0}
7,5,level,103,{5: 1.0}
7,6,level,104,{6: 1.0}
7,7,level,105,{7: 1.0}
7,8,level,106,{8: 1.0}
7,9,level,107,{9: 1.0}
7,10,level,108,{10: 1.0}
7,11,level,109,{11: 1.0}
7,12,level,110,{12: 1.0}
7,13,level,111,{13: 1.0}
8,2,diff,114,"{2: 1.0, 1: -1.0}"
8,3,diff,115,"{3: 1.0, 2: -1.0}"
8,4,diff,116,"{4: 1.0, 3: -1.0}"
8,5,diff,117,"{5: 1.0, 4: -1.0}"
8,6,diff,118,"{6: 1.0, 5: -1.0}"
8,7,diff,119,"{7: 1.0, 6: -1.0}"
8,8,diff,120,"{8: 1.0, 7: -1.0}"
8,9,diff,121,"{9: 1.0, 8: -1.0}"
8,10,diff,122,"{10: 1.0, 9: -1.0}"
8,11,diff,123,"{11: 1.0, 10: -1.0}"
8,12,diff,124,"{12: 1.0, 11: -1.0}"
