spec,candidate,lag,n_pairs,candidate_z,candidate_abs_z,candidate_p,stata_p,stata_abs_z,abs_z_diff,abs_p_diff
system_gmm_baseline_controls,level_corr,1,1152,10.169699708047128,10.169699708047128,2.7074205599715808e-24,0.079850145,1.7515562268873992,8.41814348115973,0.079850145
system_gmm_baseline_controls,level_corr,2,1056,9.090562316002329,9.090562316002329,9.85281438128227e-20,0.86768544,0.16659917866150217,8.923963137340827,0.86768544
system_gmm_baseline_controls,fd_corr,1,1056,-15.717068774888757,15.717068774888757,1.1554709855822143e-55,0.079850145,1.7515562268873992,13.965512548001358,0.079850145
system_gmm_baseline_controls,fd_corr,2,960,-0.21749541022371313,0.21749541022371313,0.8278222835065341,0.86768544,0.16659917866150217,0.05089623156221096,0.039863156493465945
system_gmm_baseline_controls,level_inner,1,1152,9.949646725254649,9.949646725254649,2.5308001513224852e-23,0.079850145,1.7515562268873992,8.19809049836725,0.079850145
system_gmm_baseline_controls,level_inner,2,1056,9.139931522477912,9.139931522477912,6.249188781367797e-20,0.86768544,0.16659917866150217,8.973332343816411,0.86768544
system_gmm_baseline_controls,fd_inner,1,1056,-14.186206428179059,14.186206428179059,1.1153102188333172e-45,0.079850145,1.7515562268873992,12.43465020129166,0.079850145
system_gmm_baseline_controls,fd_inner,2,960,-0.22028674643737572,0.22028674643737572,0.8256478414693827,0.86768544,0.16659917866150217,0.05368756777587355,0.04203759853061728
system_gmm_no_controls,level_corr,1,1152,12.731975991172076,12.731975991172076,3.927714087530302e-37,0.13648188,1.4890208439785972,11.242955147193479,0.13648188
system_gmm_no_controls,level_corr,2,1056,12.15824529777528,12.15824529777528,5.186067989596931e-34,0.9204374,0.09988276431366823,12.058362533461613,0.9204374
system_gmm_no_controls,fd_corr,1,1056,-16.043251353300352,16.043251353300352,6.37287422524636e-58,0.13648188,1.4890208439785972,14.554230509321755,0.13648188
system_gmm_no_controls,fd_corr,2,960,-0.11931267184981866,0.11931267184981866,0.905027644529113,0.9204374,0.09988276431366823,0.019429907536150426,0.015409755470886966
system_gmm_no_controls,level_inner,1,1152,11.73367337667153,11.73367337667153,8.565885554003499e-32,0.13648188,1.4890208439785972,10.244652532692934,0.13648188
system_gmm_no_controls,level_inner,2,1056,11.358582260227255,11.358582260227255,6.722675423918792e-30,0.9204374,0.09988276431366823,11.258699495913588,0.9204374
system_gmm_no_controls,fd_inner,1,1056,-15.43573788417703,15.43573788417703,9.411781770769103e-54,0.13648188,1.4890208439785972,13.946717040198433,0.13648188
system_gmm_no_controls,fd_inner,2,960,-0.12046345547235067,0.12046345547235067,0.9041160270974287,0.9204374,0.09988276431366823,0.02058069115868244,0.016321372902571296
system_gmm_three_way_controls,level_corr,1,1152,27.51109329646621,27.51109329646621,1.293433969216546e-166,5.2155811e-13,7.21956063039281,20.2915326660734,5.2155811e-13
system_gmm_three_way_controls,level_corr,2,1056,26.366969365180427,26.366969365180427,3.2793518408450854e-153,0.9898029,0.012780517512851227,26.354188847667576,0.9898029
system_gmm_three_way_controls,fd_corr,1,1056,-16.381653261747655,16.381653261747655,2.5861703776591025e-60,5.2155811e-13,7.21956063039281,9.162092631354845,5.2155811e-13
system_gmm_three_way_controls,fd_corr,2,960,-0.017228047403129537,0.017228047403129537,0.9862546869153156,0.9898029,0.012780517512851227,0.00444752989027831,0.0035482130846844484
system_gmm_three_way_controls,level_inner,1,1152,21.94804374248735,21.94804374248735,9.040895958652563e-107,5.2155811e-13,7.21956063039281,14.72848311209454,5.2155811e-13
system_gmm_three_way_controls,level_inner,2,1056,21.39870645895372,21.39870645895372,1.3736637535104567e-101,0.9898029,0.012780517512851227,21.385925941440867,0.9898029
system_gmm_three_way_controls,fd_inner,1,1056,-13.850717759075021,13.850717759075021,1.2594725238753365e-43,5.2155811e-13,7.21956063039281,6.631157128682211,5.2155811e-13
system_gmm_three_way_controls,fd_inner,2,960,-0.017751973777586992,0.017751973777586992,0.9858367180882379,0.9898029,0.012780517512851227,0.004971456264735765,0.003966181911762123
system_gmm_decomposition_controls,level_corr,1,1152,20.592151549371202,20.592151549371202,3.227152341967036e-94,0.064423621,1.8492368422408332,18.742914707130367,0.064423621
system_gmm_decomposition_controls,level_corr,2,1056,18.95184302659765,18.95184302659765,4.263851201559109e-80,0.15229951,1.4314562049608854,17.520386821636766,0.15229951
system_gmm_decomposition_controls,fd_corr,1,1056,-15.267094770057687,15.267094770057687,1.2669305132378927e-52,0.064423621,1.8492368422408332,13.417857927816854,0.064423621
system_gmm_decomposition_controls,fd_corr,2,960,-1.6655540502430053,1.6655540502430053,0.09580226966407106,0.15229951,1.4314562049608854,0.23409784528211985,0.05649724033592894
system_gmm_decomposition_controls,level_inner,1,1152,16.741863821112112,16.741863821112112,6.492310960953095e-63,0.064423621,1.8492368422408332,14.892626978871279,0.064423621
system_gmm_decomposition_controls,level_inner,2,1056,15.248371748578782,15.248371748578782,1.6878992662795513e-52,0.15229951,1.4314562049608854,13.816915543617895,0.15229951
system_gmm_decomposition_controls,fd_inner,1,1056,-13.963621551859656,13.963621551859656,2.5988507371484934e-44,0.064423621,1.8492368422408332,12.114384709618824,0.064423621
system_gmm_decomposition_controls,fd_inner,2,960,-1.685721839963662,1.685721839963662,0.09184938824832253,0.15229951,1.4314562049608854,0.25426563500277655,0.060450121751677466
