metric,native,stata,abs_diff
nobs,1248.0,1248.0,0.0
n_instruments,8.0,8.0,0.0
hansen_p,,0.15998019,
ar1_p,8.720510344147849e-55,0.091603205,0.091603205
ar2_p,0.782997206354256,0.8363589,0.05336169364574406
