param,param_native_name,param_stata_name,native_coef,stata_coef,abs_coef_diff,native_std_err,stata_std_err,abs_se_diff,rel_se_diff,native_z,native_p_value,dof,t,p,min95,max95,covariance_type
L1.y,L1.y,L.y,0.6177402867458608,0.6177402971652279,1.041936714685221e-08,0.0654891449245904,0.0654891120194985,3.290509190123636e-08,5.024513371236323e-07,9.432712664933677,3.996177784013655e-21,95,9.432717563513526,2.69599241815e-15,0.4877279718098345,0.7477526225206214,robust-clustered-two-step-windmeijer
_con,_con,_cons,0.0782609810950477,0.0782609756604648,5.434582894814355e-09,0.0811514975735922,0.0811514510622778,4.6511314411024074e-08,5.731421164031935e-07,0.9643812305999246,0.3348548288407595,95,0.964381716359024,0.3373030731187431,-0.0828450239968497,0.2393669753177792,robust-clustered-two-step-windmeijer
w,w,w,-0.4025232608807595,-0.4025232692599282,8.379168692229655e-09,0.0388874278403556,0.0388874081849961,1.9655359499715086e-08,5.054427748491271e-07,-10.350987021647107,4.141934594365346e-25,95,-10.35099246895125,2.94425875139e-17,-0.4797245353829197,-0.3253220031369366,robust-clustered-two-step-windmeijer
x,x,x,1.841295385536286,1.841295542935252,1.5739896608302217e-07,0.6198131344474577,0.6198128483102185,2.861372391249617e-07,4.6165102886306895e-07,2.970726632273997,0.0029709610653871,95,2.970728257658959,0.003762384419183,0.6108114638417883,3.071779622028716,robust-clustered-two-step-windmeijer
