model,n_obs,r2,adj_r2,aic,bic
pooled_dynamic_ols,547,0.5844987713796828,0.5822031844812279,-343.4347034670453,-326.2169082573574
unit_fe_dynamic_ols,547,0.6036435782204959,0.5984960922233595,-361.23762873464386,-326.802038315268
