model,param,stata_coef,stata_std_err,native_coef,native_std_err,abs_coef_diff,abs_se_diff
m_base,L1.y,0.58247924,0.039284371,0.5486581070812222,0.03433155686327443,0.03382113291877775,0.004952814136725568
m_base,_con,0.055722762,0.089214407,0.059953039259224794,0.08500110109337185,0.004230277259224792,0.004213305906628148
m_base,w,-0.42661545,0.043198444,-0.3845204342315638,0.025824145330106654,0.04209501576843622,0.01737429866989335
m_base,x,2.076525,0.56248617,1.4878025516685645,0.2961326066362367,0.5887224483314357,0.2663535633637633
m_role,L1.y,0.60201538,0.032312449,0.5421664306770236,0.027180920701780575,0.05984894932297635,0.005131528298219425
m_role,_con,0.039019689,0.098079838,0.06453961287521667,0.08045866679308197,0.02551992387521667,0.01762117120691803
m_role,w,-0.39446712,0.030240817,-0.47221170558504677,0.2038315586584444,0.07774458558504677,0.1735907416584444
m_role,x,1.6552095,0.28623715,1.3035935136885568,0.18345720232360857,0.3516159863114432,0.10277994767639143
m_var,L1.y,0.58506918,0.043845143,0.5410850814916692,0.026231056610779076,0.04398409850833074,0.017614086389220927
m_var,_con,0.034705069,0.10300745,0.06309727225191905,0.08115619160105565,0.028392203251919053,0.021851258398944348
m_var,w,-0.37938511,0.031947073,-0.3516987918119067,0.23173421794840804,0.027686318188093306,0.19978714494840805
m_var,x,1.4473308,0.34024867,1.1556391266930914,0.18322074588216758,0.2916916733069086,0.1570279241178324
