parm,estimate,stderr,dof,t,p,min95,max95
L.y,.6116148610582139,.0749512241681002,95,8.160171736307966,1.38246958463e-12,.4628178680645273,.7604118540519006
x,1.766307749197163,.6446973627950038,95,2.739747129629256,.0073444342067208,.4864216627510323,3.046193835643293
w,-.4025383580179456,.036496308018051,95,-11.02956380735419,1.06423892767e-18,-.4749926901350271,-.3300840259008641
_cons,.0791899822324024,.0824122651537581,95,.9609004446687169,.3390415813971502,-.0844190498652572,.242799014330062
