fold,train_n,test_n,n,mae,mse,rmse,mape,smape,r2
1.0,350.0,70.0,70.0,0.6416,0.6033,0.7767,325.2021,89.9479,0.5909
2.0,420.0,70.0,70.0,0.6453,0.6708,0.819,706.6316,96.6496,0.5053
3.0,490.0,70.0,70.0,0.6607,0.6433,0.8021,547.1587,106.0836,0.5557
