model,param,coef,std_err,z,p_value
m_role,L.y,.61300266,.024668137,24.849977,0
m_role,x,1.2983376,.15617155,8.3135347,9.2892813e-17
m_role,w,-.37479061,.022177987,-16.899218,0
m_role,_cons,.044266392,.092537276,.4783628,.63239199
