model,param,native_coef,native_std_err
m_base,L1.y,0.4964212338190039,0.0808534411995126
m_base,x,0.7684944360778854,0.31809541906628847
m_base,w,-0.4428196549313146,0.3139111081760686
m_base,t_2,-0.2057834826158197,0.05226343218894619
m_base,t_3,-0.15833009932966968,0.06769480134209382
m_base,t_4,-0.12396102649795937,0.06491136698843367
m_base,t_5,-0.09868183868834768,0.0557754889572495
m_base,t_6,-0.12119848867251626,0.11612176029136365
m_base,t_7,-0.08589659475208022,0.044195242566401345
m_base,t_8,-0.13253635415447462,0.07886511378194361
m_base,t_9,-0.06766287693468509,0.0650028920390197
m_base,t_10,-0.020812902079097473,0.05551040551374574
m_base,t_11,-0.03832053323319018,0.04298554369519751
m_base,t_12,-0.016469301059458763,0.06074862342619733
m_base,t_13,32.82577886940271,128.5926078370281
m_base,_con,-2.368321013388197,9.881526299612982
m_role,L1.y,0.5262780900897684,0.029004496554132803
m_role,x,1.2870218603711412,0.19727340704066812
m_role,w,-0.36104550560557325,0.21288554809634735
m_role,t_2,-0.2029537091972572,0.07291142243802327
m_role,t_3,-0.14809733431789424,0.06693850410995475
m_role,t_4,-0.07476282054296479,0.07968617983136944
m_role,t_5,-0.15097121040729636,0.07413158398305905
m_role,t_6,0.03385638136168058,0.07307948035164208
m_role,t_7,-0.07562605146392365,0.060446562076588516
m_role,t_8,-0.020457421005102422,0.07328853880422999
m_role,t_9,-0.09485478057931995,0.06199247026818658
m_role,t_10,-0.12206405102620965,0.06916332005839493
m_role,t_11,0.024853375012683476,0.050225236976183835
m_role,t_12,-0.03508524238418187,0.05699140445198577
m_role,t_13,-1.154157766586902,1.7145195931978359
m_role,_con,0.22972937602176668,0.16633069260077735
m_var,L1.y,0.5260610497465932,0.0307327927307309
m_var,x,1.1947808468666263,0.20847060918786695
m_var,w,-0.21742609852670425,0.2724609028422219
m_var,t_2,-0.20393070319920525,0.06714620850574014
m_var,t_3,-0.13635668851889665,0.06483753327503287
m_var,t_4,-0.1187327532339304,0.08755507950841972
m_var,t_5,-0.13851524105468876,0.07083542648016608
m_var,t_6,0.04176420946607008,0.07449633499026173
m_var,t_7,-0.07456967792971284,0.059965237988817484
m_var,t_8,-0.03609089527719478,0.06700156971357732
m_var,t_9,-0.07092058791673053,0.061822812857265555
m_var,t_10,-0.10599925195245485,0.06347017344368262
m_var,t_11,0.022809195881639086,0.050170511560421564
m_var,t_12,-0.03241647713090853,0.053497388327707424
m_var,t_13,-1.1728106607847355,1.6948857817655678
m_var,_con,0.23626716418583937,0.16529833085066947
