model,param,coef,std_err,z,p_value
m_var,L.y,.60306203,.027870944,21.637661,0
m_var,x,1.1771839,.13632576,8.6350803,5.8685780e-18
m_var,w,-.36823404,.022328459,-16.491692,0
m_var,_cons,.034392715,.097858436,.35145375,.72524798
