param,native_coef,native_std_err,native_z,native_p_value,covariance_type,stata_coef,stata_std_err,coef_abs_diff,se_abs_diff,se_rel_diff
L1.y,0.6049762803049417,0.079296096012117,7.629332473221592,2.3597235356328977e-14,robust-clustered-two-step-windmeijer,0.6049762956055798,0.0792960818790324,1.53006380898546e-08,1.4133084591527734e-08,1.7823181494752802e-07
_con,0.1539506638149499,0.0914450471710922,1.6835320072273643,0.0922721486205101,robust-clustered-two-step-windmeijer,0.1539506656997998,0.0914450327065687,1.8848498872792163e-09,1.4464523495627546e-08,1.581772466749692e-07
c1,0.1737248642015703,0.0277062801021269,6.270234169336719,3.6050552577793757e-10,robust-clustered-two-step-windmeijer,0.1737248640076731,0.0277062765215233,1.9389720384843656e-10,3.5806036018104503e-09,1.2923438481633935e-07
w,-0.2885215472345754,0.0330269689618366,-8.735937820027264,2.41642876938252e-18,robust-clustered-two-step-windmeijer,-0.2885215541693803,0.0330269651684761,6.934804896996383e-09,3.793360500714549e-09,1.1485646596240312e-07
x_long,0.5132748243043253,0.0730756331064788,7.023884740846923,2.157828362905556e-12,robust-clustered-two-step-windmeijer,0.5132748079098748,0.0730756207877753,1.6394450463863564e-08,1.2318703501712491e-08,1.6857473626516584e-07
x_short,0.819185791917691,0.3970547229723211,2.0631558939415937,0.0390978191175146,robust-clustered-two-step-windmeijer,0.8191858486425273,0.3970546560303931,5.672483627261471e-08,6.694192800082988e-08,1.6859625490880963e-07
