software_ref,language_ref,model,term_ref,term_norm,coefficient_ref,std_error_ref,p_value_ref,status_ref,source_file_ref,software_other,language_other,term_other,coefficient_other,std_error_other,p_value_other,status_other,source_file_other,_merge
systemgmmkit,Python,System GMM,L1_y,L1_y,0.9292107947791666,0.0422932373139422,5.495096260295658e-107,OK,Artifacts\Joss\tables\22_system_gmm_results.csv,Stata xtabond2,Stata,l1_y,0.929210792468204,0.0422930627627494,5.4841436748e-107,OK,Artifacts\Joss\tables\22_stata_system_gmm_coefficients.csv,both
systemgmmkit,Python,System GMM,const,const,0.1294962306498237,0.0350865806550682,0.0002235829607283,OK,Artifacts\Joss\tables\22_system_gmm_results.csv,Stata xtabond2,Stata,const,0.1294962326408661,0.0350864364304821,0.0002235695749064,OK,Artifacts\Joss\tables\22_stata_system_gmm_coefficients.csv,both
systemgmmkit,Python,System GMM,x_exog,x_exog,0.2423543285116905,0.0196909929503262,8.215541560247815e-35,OK,Artifacts\Joss\tables\22_system_gmm_results.csv,Stata xtabond2,Stata,x_exog,0.2423543265525582,0.0196909117074162,8.21038504766e-35,OK,Artifacts\Joss\tables\22_stata_system_gmm_coefficients.csv,both
systemgmmkit,Python,System GMM,x_pred,x_pred,0.0558768452171638,0.1379065668473367,0.685345938103463,OK,Artifacts\Joss\tables\22_system_gmm_results.csv,Stata xtabond2,Stata,x_pred,0.0558768701385088,0.1379059953120166,0.6853445710441475,OK,Artifacts\Joss\tables\22_stata_system_gmm_coefficients.csv,both
