software_ref,language_ref,model,term_ref,term_norm,coefficient_ref,std_error_ref,p_value_ref,status_ref,source_file_ref,software_other,language_other,term_other,coefficient_other,std_error_other,p_value_other,status_other,source_file_other,_merge
systemgmmkit,Python,2SLS,L1_y,L1_y,1.0229562365048053,0.0214533156333796,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv,Stata,Stata,L1_y,1.0229563,0.021408575,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv,both
systemgmmkit,Python,2SLS,const,const,0.0613915083321916,0.0335845498893654,0.0675542388843035,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv,Stata,Stata,_cons,0.061391506,0.033514511,0.066982895,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv,both
systemgmmkit,Python,2SLS,x_exog,x_exog,0.249586985712353,0.0289802409529744,7.159931207433567e-18,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv,Stata,Stata,x_exog,0.24958698,0.028919803,6.1183840999999995e-18,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv,both
systemgmmkit,Python,2SLS,x_pred,x_pred,-0.5080345721786573,0.1823732860647253,0.0053414709891321,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_2sls_systemgmmkit_results.csv,Stata,Stata,x_pred,-0.50803459,0.18199295,0.0052463221,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_2sls_results.csv,both
