"model","software","language","term","coefficient","std_error","statistic","p_value","term_norm"
"2SLS","R AER::ivreg","R","(Intercept)",0.0613915083321933,0.0335845498893653,1.8279687694023,0.0678657672822093,"const"
"2SLS","R AER::ivreg","R","L1_y",1.0229562365048,0.0214533156333796,47.6828968531638,5.8834125036291e-255,"L1_y"
"2SLS","R AER::ivreg","R","x_exog",0.249586985712353,0.0289802409529744,8.61231575394257,2.91939703060457e-17,"x_exog"
"2SLS","R AER::ivreg","R","x_pred",-0.508034572178654,0.182373286064725,-2.78568524558115,0.00544710631968621,"x_pred"
