software_ref,language_ref,model,term_ref,term_norm,coefficient_ref,std_error_ref,p_value_ref,status_ref,source_file_ref,software_other,language_other,term_other,coefficient_other,std_error_other,p_value_other,status_other,source_file_other,_merge
systemgmmkit,Python,Pooled OLS,L1_y,L1_y,0.9675516115840662,0.0106426024014391,0.0,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv,Stata,Stata,L1_y,0.96755159,0.010642602,0.0,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv,both
systemgmmkit,Python,Pooled OLS,_con,const,0.1147997046764556,0.020216974862036,1.748429165968617e-08,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv,Stata,Stata,_cons,0.11479971,0.020216975,1.3597485e-08,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv,both
systemgmmkit,Python,Pooled OLS,x_exog,x_exog,0.2319791078268938,0.0190864652916756,6.07766055949637e-32,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv,Stata,Stata,x_exog,0.2319791,0.019086465,5.4548847e-34,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv,both
systemgmmkit,Python,Pooled OLS,x_pred,x_pred,0.23614395314742,0.0218819207525131,7.50464498769473e-26,OK,Artifacts\Joss\tables\26_static_postestimation_comparison\26_static_model_results_long.csv,Stata,Stata,x_pred,0.23614395,0.021881921,3.76601e-27,OK,Artifacts\Joss\tables\27_static_cross_software_comparison\27_stata_pooled_ols_results.csv,both
