model_clean,common_terms,sgk_only_terms,stata_only_terms,max_abs_coef_diff,max_abs_se_diff,max_abs_p_diff,status
Difference GMM,3,0,0,0.010926524622851597,0.03997455523678822,0.06797041685997901,REVIEW
System GMM,4,0,0,0.00826797727218459,0.0012346203003653008,0.006069178542640219,REVIEW
